有消费的学号,金额,,原始学号数据
14101080220,415.5,,"'14101070222',"
14101080227,515.56,,"'14101070223',"
14101080231,256.8,,"'14101070225',"
14101080232,569.7,,"'14101070228',"
14101080318,172.64,,"'14101080119',"
14101080319,630.9,,"'14101080128',"
14101080325,468.7,,"'14101080131',"
14101080326,791.1,,"'14101080132',"
14101080419,515.34,,"'14101080218',"
14101080423,493.28,,"'14101080220',"
14101080426,606.72,,"'14101080227',"
14101080427,235.4,,"'14101080231',"
14101080428,622.7,,"'14101080232',"
14101080429,378.7,,"'14101080318',"
14101080430,410.8,,"'14101080319',"
14101090219,416.9,,"'14101080325',"
14101090220,308.69,,"'14101080326',"
14101090222,493.58,,"'14101080419',"
14101110131,281.68,,"'14101080423',"
14101110229,379.05,,"'14101080426',"
14101110230,729.8,,"'14101080427',"
14102010124,48.8,,"'14101080428',"
14102010223,652,,"'14101080429',"
14102010321,323.91,,"'14101080430',"
14102020113,194.61,,"'14101090219',"
14102020126,477.66,,"'14101090220',"
14102020213,560.76,,"'14101090222',"
14102020231,421.4,,"'14101110131',"
14102020303,723.74,,"'14101110229',"
14102020328,428.8,,"'14101110230',"
14102020411,100.54,,"'14102010124',"
14102030122,186.7,,"'14102010223',"
14102030123,160.4,,"'14102010321',"
14102030124,0,,"'14102020113',"
14102030125,23.18,,"'14102020126',"
14102030128,31.5,,"'14102020213',"
14102030129,705,,"'14102020231',"
14102030133,441.48,,"'14102020303',"
14102030229,652.3,,"'14102020328',"
14102030233,862.56,,"'14102020411',"
14102040123,788.34,,"'14102030122',"
14102040124,583.08,,"'14102030123',"
14102040127,536.6,,"'14102030124',"
14102040136,557.7,,"'14102030125',"
14102040138,725.2,,"'14102030128',"
14102040221,485.2,,"'14102030129',"
14102040225,351.6,,"'14102030133',"
14102040230,634.82,,"'14102030229',"
14102040236,581.35,,"'14102030233',"
14102050102,557.04,,"'14102040123',"
14102050138,519.35,,"'14102040124',"
14102060122,711.74,,"'14102040127',"
14102060123,717.16,,"'14102040136',"
14102060127,607.9,,"'14102040138',"
14102060222,475.66,,"'14102040221',"
14102060226,568.18,,"'14102040225',"
14103010109,997.54,,"'14102040230',"
14103010116,479.1,,"'14102040236',"
14103010120,605.1,,"'14102050102',"
14103010316,698.78,,"'14102050126',"
14103020129,313.75,,"'14102050138',"
14103020213,649.1,,"'14102060122',"
14103020325,466.8,,"'14102060123',"
14103020418,509.4,,"'14102060127',"
14103040120,926.7,,"'14102060222',"
14103040122,590.7,,"'14102060226',"
14103040128,363.1,,"'14103010109',"
14103040221,461.1,,"'14103010116',"
14103050118,476.4,,"'14103010120',"
